"subject","activity_names","average"
1,"LAYING",-0.67389541009565
1,"SITTING",-0.716934509979086
1,"STANDING",-0.744366477145957
1,"WALKING",-0.196732655960201
1,"WALKING_DOWNSTAIRS",-0.152809321379729
1,"WALKING_UPSTAIRS",-0.309945583402058
2,"LAYING",-0.73556911108555
2,"SITTING",-0.729654565092022
2,"STANDING",-0.732590804243168
2,"WALKING",-0.330412895297341
2,"WALKING_DOWNSTAIRS",-0.116763883583863
2,"WALKING_UPSTAIRS",-0.272385548816361
3,"LAYING",-0.726807694951424
3,"SITTING",-0.699770968026674
3,"STANDING",-0.704682302547705
3,"WALKING",-0.323561536929954
3,"WALKING_DOWNSTAIRS",-0.23672143669063
3,"WALKING_UPSTAIRS",-0.35559483392834
4,"LAYING",-0.72143384442427
4,"SITTING",-0.710212195519895
4,"STANDING",-0.697421548177049
4,"WALKING",-0.394397035089279
4,"WALKING_DOWNSTAIRS",-0.283527563045101
4,"WALKING_UPSTAIRS",-0.338043161562483
5,"LAYING",-0.731654615154246
5,"SITTING",-0.710433436751057
5,"STANDING",-0.690609412205801
5,"WALKING",-0.290948505178101
5,"WALKING_DOWNSTAIRS",-0.153142185763279
5,"WALKING_UPSTAIRS",-0.24193109694499
6,"LAYING",-0.707118297247149
6,"SITTING",-0.709400177690065
6,"STANDING",-0.71590473897367
6,"WALKING",-0.235985162392473
6,"WALKING_DOWNSTAIRS",-0.00705803164090755
6,"WALKING_UPSTAIRS",-0.190490541339638
7,"LAYING",-0.716267824768834
7,"SITTING",-0.704311559576328
7,"STANDING",-0.718248909841162
7,"WALKING",-0.189388535337556
7,"WALKING_DOWNSTAIRS",-0.172542054456709
7,"WALKING_UPSTAIRS",-0.359311606673569
8,"LAYING",-0.714894474947824
8,"SITTING",-0.719561025127109
8,"STANDING",-0.727695487367101
8,"WALKING",-0.159331949167727
8,"WALKING_DOWNSTAIRS",-0.00835386440862665
8,"WALKING_UPSTAIRS",-0.143483571068438
9,"LAYING",-0.719003974913756
9,"SITTING",-0.696814413137844
9,"STANDING",-0.711790022950976
9,"WALKING",-0.285781291268411
9,"WALKING_DOWNSTAIRS",-0.168842517738005
9,"WALKING_UPSTAIRS",-0.349199993513578
10,"LAYING",-0.744719189105595
10,"SITTING",-0.729395477186172
10,"STANDING",-0.714345010280994
10,"WALKING",-0.214899868476442
10,"WALKING_DOWNSTAIRS",-0.115177156622948
10,"WALKING_UPSTAIRS",-0.21374180348568
11,"LAYING",-0.731851007188325
11,"SITTING",-0.722601265949573
11,"STANDING",-0.739977377777866
11,"WALKING",-0.378164942268789
11,"WALKING_DOWNSTAIRS",-0.223379328089643
